ResponseID,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,workerId,site,hitId,assignmentId,condition,trait,consent,attn_check_1_1,attn_check_1_2,attn_check_1_3,attn_check_1_4,attn_check_1_5,attn_check_1_6,attn_check_1_7,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,multitab_faq,profile_num,profile_interest_num,attn_check_2,attn_check_3,engage_1,engage_2,engage_3,engage_4,ease_1,ease_2,ease_3,ease_4,ease_5,success_1,success_2,success_3,success_4,success_5,success_6,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,suc_1,suc_2,suc_3,suc_4,suc_5,suc_6,suc_7,suc_8,suc_9,suc_10,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,mc_compliance,mc_strategy,mc_strategy_use,trait-trait 1,trait-trait 2,trait-trait 3,careful_response,honest_response,debrief_concerns,debriefing,prevention,promotion,engage,ease,fit_success,fit_partner,ods,activity_distraction,pos_af,neg_af,duplicate,attn_check_1,attn_check,manip_check,exclusion
R_2CeQAHajxmePRWb,9018a6dc,0,2019-01-23T22:15:21Z,2019-01-23T22:33:06Z,1,35302412,7e943b3e,"OkCupid, eHarmony",30IRMPJWDZKPTR5VI1M2R4DTCCERKE,3OHYZ19UGC6J6L2N4KXARF0GB0GOA6,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,3,5,5,5,5,5,6,6,6,5,eharm,NA,7,1,2,10,5,5,5,5,6,2,5,2,3,8,7,8,9,9,8,5,7,7,5,5,6,6,14,15,13,14,15,14,13,14,14,13,4,1,4,1,3,1,1,1,3,4,1,3,1,3,2,4,4,1,3,1,23,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,compliant,desirable_compile,2,intelligent,affectionate,loyal,1,1,NA,1,3.857142857142857,5.375,5,6,5.166666666666667,5.833333333333333,4.5,0,3.5,1.1,nonduplicated,0,pass,pass,eligible
R_uvP9wPVFsOtc1Ql,8a820112,0,2019-01-23T22:12:28Z,2019-01-23T22:34:50Z,1,78955980,206b7336,"OkCupid, Match.com/ca, Tinder, Hi5",30IRMPJWDZKPTR5VI1M2R4DTCCERKE,3U4J9857OECH4PFGTCG4B4YR3TR7BU,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,6,4,7,7,7,6,7,7,7,okc,NA,16,6,2,10,6,7,7,7,7,1,6,2,7,9,10,10,10,9,10,6,7,7,7,7,7,7,16,15,17,16,17,17,16,15,17,16,4,1,5,1,5,1,1,1,3,5,1,1,1,5,1,5,5,2,5,1,25,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,High standards,Exciting,Reserved,1,1,Great survey good social experiment,1,6.714285714285714,6.5,6.666666666666667,6.666666666666667,6.666666666666667,6.833333333333333,4.8,0,4.3,1.1,nonduplicated,0,pass,fail,eligible
R_2q7CljaZQWp1784,ae2a5f5d,0,2019-01-23T22:10:18Z,2019-01-23T22:41:47Z,1,74452948,c0459db7,"eHarmony, Plenty of Fish",3XEIP58NL0O9FO94DISGS7S7AT2ZLI,3XLBSAQ9Z4DDMNIWZQW7XM5UUWD7Z0,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,5,3,5,6,6,5,4,6,5,6,5,okc,NA,25,4,2,10,5,6,6,4,6,3,6,2,3,8,8,9,9,8,9,5,5,5,5,5,5,5,15,13,14,14,15,15,14,15,14,15,3,1,4,1,4,1,1,1,4,3,1,4,1,4,2,4,4,1,4,1,46,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,2,patient,happy,faithful,1,1,Interesting study,1,4.714285714285714,5.375,5.666666666666667,5.666666666666667,5.5,5,4.2,0,3.8,1.1,nonduplicated,0,pass,pass,eligible
R_3qQKU9T6wGGuS9n,2a978095,0,2019-01-23T22:15:45Z,2019-01-23T22:41:52Z,1,71793002,15ae9987,"OkCupid, Tinder",30IRMPJWDZKPTR5VI1M2R4DTCCERKE,3W92K5RLWUIHQZZ3A0S7EWE2FFCV59,desirable_eliminate,desirable,1,NA,NA,NA,NA,1,NA,NA,7,5,1,6,5,5,7,7,4,5,5,7,7,5,7,okc,1,25,20,7,10,7,7,7,7,7,7,7,7,6,10,10,10,10,10,10,7,7,7,7,7,7,7,17,17,17,13,17,17,15,17,16,17,5,1,5,5,4,1,2,1,5,3,1,1,1,5,1,4,4,1,4,2,32,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,Did they look clean,Do they have a job,Where do they leave,1,1,NA,1,5.142857142857143,5.875,7,3,7,7,4.9,0,4,1.6,nonduplicated,1,fail,fail,ineligible
R_efy6vVhTjwi4srD,cb2cc709,0,2019-01-23T22:17:13Z,2019-01-23T22:51:28Z,1,3447882,ff500750,"Plenty of Fish, Tinder",30IRMPJWDZKPTR5VI1M2R4DTCCERKE,3H8DHMCCW9CYE1KKQ2WJAZRDCY4DKE,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,2,1,6,5,3,5,6,6,3,5,6,6,4,5,pof,NA,15,3,2,10,4,6,6,3,6,1,6,2,5,8,8,8,8,8,7,6,6,6,6,4,7,7,16,15,16,15,15,15,12,15,15,12,4,2,4,2,3,1,1,1,2,2,1,1,1,1,1,3,2,1,4,1,37,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Hispanic,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Honesty,Loyalty,Tenderness,3,1,Thanks have a nice day,1,3.7142857142857144,5.125,5.333333333333333,6.333333333333333,4.833333333333333,5.833333333333333,5,0,2.6,1.2,nonduplicated,0,pass,pass,eligible
R_3Iaer4qkqD3C0UN,afd8a7db,0,2019-01-23T22:11:01Z,2019-01-23T22:52:09Z,1,66773522,885d5668,"Bumble, OkCupid, eHarmony, Plenty of Fish, Tinder",3XEIP58NL0O9FO94DISGS7S7AT2LZ4,317HQ483I7TGUIL9FTPATOOUYYFNIT,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,5,4,5,5,6,4,4,4,5,5,4,pof,NA,35,25,2,10,5,4,4,2,5,1,4,2,3,7,6,7,6,7,6,5,5,4,4,5,4,4,13,13,15,14,14,13,12,14,14,16,2,2,3,1,3,1,1,1,2,2,2,3,1,3,1,3,4,3,2,1,28,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,A Want for an educated partner,A Desire for humor,Motivated career wise,1,1,N/A,1,3.857142857142857,4.625,4.333333333333333,6,3.5,4.5,3.6,1,2.7,1.4,nonduplicated,0,pass,pass,eligible
R_vZStlk6DBKpk9Gx,75bb21bf,0,2019-01-23T22:17:35Z,2019-01-23T22:54:18Z,1,57233140,2c212a74,"Bumble, OkCupid, Tinder",3GONHBMNHVZTL6RPDUTVSK7WAYSZMK,33UKMF9319L4Y96461AQGUWVYXITTI,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,5,3,4,6,7,5,6,6,6,7,6,okc,NA,15,2,2,10,5,5,3,5,5,3,6,2,4,8,7,9,9,9,8,4,3,4,4,5,4,3,16,15,12,15,16,15,13,14,15,13,4,1,3,1,3,1,1,1,3,2,1,3,2,4,1,4,4,1,3,1,47,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,physical attractiveness,intelligence and humor,wants or has children,1,1,n/a,1,3.857142857142857,6.125,4.333333333333333,5.333333333333333,5.333333333333333,4,5.2,0,3.3,1.1,nonduplicated,0,pass,pass,eligible
R_dcIC64Aw08PZJ5L,ca3ff9c2,0,2019-01-23T22:40:06Z,2019-01-23T22:58:28Z,1,94314747,eab6f5f9,"OkCupid, Plenty of Fish",3ATYLI1PRT3RLU7X8O5MWU8BM0UOJ3,3137ONMDKG6Y4L21W6MOIPH55TQEG7,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,6,3,5,3,5,5,5,5,5,5,5,pof,NA,20,2,2,10,5,5,4,2,5,2,6,2,2,7,7,6,7,7,7,5,5,6,5,5,5,5,15,16,11,17,16,16,11,15,16,11,2,1,2,1,2,1,1,1,2,1,1,3,1,2,1,1,3,2,1,1,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,1,compliant,desirable_eliminate,2,education,enjoys outdoors,job,1,1,NA,1,4.285714285714286,4.75,4.666666666666667,5.666666666666667,3.8333333333333335,5.166666666666667,6.2,1,1.9,1.1,nonduplicated,0,pass,fail,eligible
R_11bxAY4UPOGOmoo,902a9c49,0,2019-01-23T22:05:35Z,2019-01-23T23:01:19Z,1,85041075,63e0c393,"Badoo, OkCupid, Plenty of Fish, Tinder",3ATYLI1PRT3RLU7X8O5MWU8BM0UOJ3,3JAOYWH7VI5XVHPLZM3I33L2ADSL96,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,7,6,5,7,5,6,5,7,6,7,6,pof,NA,6,1,2,10,7,6,7,5,7,2,6,1,6,9,9,10,9,10,9,7,7,7,7,7,6,7,17,17,12,15,15,16,11,16,17,12,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,35,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Family oriented,Independent,Short,1,1,Happy new year thank you for this study,1,4.428571428571429,6.125,6.666666666666667,6.666666666666667,6.333333333333333,6.833333333333333,6.2,0,5,1,nonduplicated,0,pass,pass,eligible
R_3EgLTTrrKqaUsBs,9168fb0a,0,2019-01-23T22:45:35Z,2019-01-23T23:05:31Z,1,96526041,8571e276,OkCupid,33KGGVH24UI7KM5LJQMCB73I4NZX1D,3RJSC4XJ10V1XYYN734IT3OCLJ305Q,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,5,3,5,5,5,3,4,4,4,4,5,okc,NA,7,2,2,10,4,6,4,2,5,2,5,3,2,4,4,4,4,4,4,7,7,6,6,6,7,5,11,11,17,11,11,11,17,11,11,17,1,5,1,5,1,1,5,3,1,1,5,1,4,2,3,1,3,3,1,5,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,compliant,desirable_compile,1,Had pets,Didn't do drugs,Liked the same types of shows,1,1,Nothing additional to add,1,4.857142857142857,4.25,4.666666666666667,5.333333333333333,1,6.5,1,1,1.3,3.9,nonduplicated,0,pass,pass,eligible
R_2t4lBSYifV787G2,53549c19,0,2019-01-23T22:49:01Z,2019-01-23T23:07:51Z,1,82959137,6567e7c7,OkCupid,3ATYLI1PRT3RLU7X8O5MWU8BM0UJOY,3MB8LZR5BFUHCD8C3JU7TCZIL78LK4,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,7,7,1,4,6,7,7,7,7,7,7,7,7,7,7,okc,NA,20,4,2,10,7,7,7,7,6,5,7,1,1,10,10,10,10,10,10,7,7,7,7,7,7,7,17,17,11,17,17,17,14,17,14,11,5,1,4,1,5,1,1,1,4,4,1,5,1,5,1,5,5,1,5,1,28,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,Bad Grammar,Vague Answers,Too focused on sex,1,1,NA,1,5.571428571428571,7,7,5.333333333333333,7,7,6.4,0,4.7,1,nonduplicated,0,pass,pass,eligible
R_21hU8vTVxbOfzYv,f60ba3ff,0,2019-01-23T22:53:40Z,2019-01-23T23:10:16Z,1,66837106,7adc651d,"Bumble, Coffee Meets Bagel, OkCupid, Tinder",33KGGVH24UI7KM5LJQMCB73I4NZX1D,3NKQQ8O39Y6CHXPWKG0LGM0BEP5DUE,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,7,4,4,6,2,5,7,7,7,5,6,7,7,7,okc,1,20,6,2,10,7,7,6,3,5,3,6,2,4,7,7,7,7,8,8,7,7,7,7,7,7,7,13,12,15,12,12,13,15,13,12,16,4,1,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,28,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Puerto Rican,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,geeky,monogamous,quite,1,1,NA,1,4.714285714285714,6.625,6.666666666666667,5.333333333333333,4.333333333333333,7,2.5,0,1.7,1.1,nonduplicated,0,pass,pass,eligible
R_rpvTnGWzxkYZCrD,ece2e862,0,2019-01-23T22:50:32Z,2019-01-23T23:11:42Z,1,80419414,6dac0091,"OkCupid, eHarmony, Match.com/ca, Plenty of Fish, Tinder, Zoosk",3ATYLI1PRT3RLU7X8O5MWU8BM0UOJ3,35GMH2SV3EIMWYJZKPZWNYQ7WFHOE4,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,7,7,1,1,5,7,6,6,7,7,6,6,pof,NA,22,7,2,10,7,7,4,3,6,1,7,1,1,7,7,9,6,6,5,6,6,5,5,6,6,5,14,15,14,16,11,14,11,15,14,11,3,1,2,1,1,1,1,3,3,1,2,5,1,1,1,2,2,1,2,1,28,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,Clubbing,Social drinking,Smoking,1,1,None,1,3.142857142857143,6.25,6,6.666666666666667,3.6666666666666665,5.666666666666667,4.7,0,2.2,1.3,nonduplicated,0,pass,pass,eligible
R_2fIeEfuFhUvC8Jg,bb16c9fc,0,2019-01-23T22:53:06Z,2019-01-23T23:13:25Z,1,30727385,50c0dd85,"OkCupid, Tinder",3GONHBMNHVZTL6RPDUTVSK7WAYSZMK,33LK57MYLT6Z5L2ONTUISD1QHARSZ9,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,5,6,4,5,6,5,5,5,3,4,2,5,5,5,okc,NA,12,6,2,10,5,5,5,5,7,2,7,2,3,8,8,8,8,8,9,7,6,5,5,7,6,5,14,14,14,13,15,13,14,14,14,13,4,1,3,1,3,1,1,1,3,1,1,4,1,2,1,4,4,2,4,1,34,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,loves to read,loves outdoors and exercise,not weird,1,1,Thanks.  Hope I have helped with your research.,1,5.142857142857143,4.25,5,6.333333333333333,5.166666666666667,6,4,0,3.2,1.1,nonduplicated,0,pass,pass,eligible
