PROLIFIC_PID,Current_use,Past_use,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_other,site_other_TEXT,ResponseID,Status,StartDate,EndDate,Finished,attn_check,Excluded,attn_check_1,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,engage_1,engage_2,engage_3,ease_1,ease_2,ease_4,info_1,info_2,info_3,info_4,info_5,info_6,infoPref_1,infoPref_2,infoPref_3,infoPref_4,infoPref_5,infoPref_6,infoPref_7,infoPref_8,infoPref_9,attn_check_2,attn_check_3,suc_1,suc_2,suc_3,suc_4,suc_5,suc_6,suc_7,suc_8,suc_9,suc_10,bis_1,basD_1,basR_1,basF_1,basR_2,bis_2,basD_2,basF_2,basD_3,bis_3,basR_3,basF_3,bis_4,basR_4,bis_5,basF_4,basD_4,bis_6,basR_5,bis_7,RFQ_1,RFQ_2,RFQ_3,RFQ_4,RFQ_5,RFQ_6,RFQ_7,RFQ_8,RFQ_9,RFQ_10,RFQ_11,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_other,ethnicity_other_txt,education,careful_response,honest_response,X126,attention_check,duration,response_time,consistency_suc,response_consistency,exclusion,prevention,promotion,bis,bas_drive,bas_reward,bas_fun,bas,rfq_prom,rfq_prev,engage,ease,info_adequacy,info_preference,ods
1cf6ed10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R_3q9f7r1LmcPBpdB,0,2020-01-19T19:07:13Z,2020-01-19T19:20:05Z,1,0,NA,NA,2,1,4,4,5,4,3,1,2,4,5,4,4,2,4,4,4,4,3,7,3,3,4,4,5,3,3,7,2,7,4,7,5,4,7,7,2,7,3,3,4,2,3,3,5,2,2,5,1,4,5,4,5,4,4,1,4,7,4,1,5,5,7,1,4,1,7,7,1,5,1,5,4,3,1,2,1,1,1,21,male,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,NA,pass,772,greater_than_six,7,consistent,eligible,3.2857142857142856,3.25,6.285714285714286,4,5.2,1.75,3.769230769230769,1,3.8,4,3,3.3333333333333335,6,2.8
c7cfded8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Facebook,R_1j6Q3HV2GTxl03P,0,2020-01-19T19:06:50Z,2020-01-19T19:21:51Z,1,0,NA,NA,4,5,4,5,5,4,6,6,7,6,6,5,6,7,7,5,5,5,5,4,4,5,5,5,4,5,5,5,4,7,4,4,5,5,7,4,2,7,2,1,7,1,2,2,7,5,1,7,3,6,7,5,7,4,5,7,7,6,7,5,5,6,6,7,5,4,7,5,4,3,4,3,5,3,5,3,3,5,3,39,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,901,greater_than_six,13,consistent,eligible,4.714285714285714,6.25,5,5.75,6.8,6,6.230769230769231,4,3.4,5,4.333333333333333,4.833333333333333,5,1.7
22c5f637,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R_3nGaGMnfQwUrksV,0,2020-01-19T19:07:46Z,2020-01-19T19:31:28Z,1,0,NA,NA,5,7,7,7,5,7,6,6,5,7,6,7,5,7,5,3,3,3,7,6,1,4,5,5,5,5,5,5,5,5,5,6,6,6,7,7,2,7,1,1,7,1,1,2,7,1,2,7,1,1,5,2,4,1,1,2,4,7,3,3,5,7,7,7,1,1,6,7,2,5,2,2,5,3,3,3,2,3,1,25,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,pass,1422,greater_than_six,18,consistent,eligible,6.285714285714286,6,5.857142857142857,1.75,5,3.5,3.5384615384615383,2.1666666666666665,3.6,3,5.333333333333333,4.5,5.333333333333333,1.2
ab884081,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_3dN7WNKZCCF1XcD,0,2020-01-19T19:08:36Z,2020-01-19T19:25:09Z,1,0,NA,NA,4,5,6,4,4,5,5,6,4,6,6,5,5,5,4,3,7,5,6,2,2,3,5,5,6,4,3,6,2,6,3,6,6,7,5,6,2,7,4,2,5,1,5,5,5,3,4,5,5,5,4,5,6,6,5,4,5,5,5,3,3,6,5,5,5,6,6,5,1,1,4,2,3,2,4,2,2,2,2,23,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,pass,993,greater_than_six,7,consistent,eligible,4.714285714285714,5.125,4.142857142857143,5,5.4,4.25,4.923076923076923,2.5,2,5,6,3.6666666666666665,5.888888888888889,3.3
8516ed52,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,R_1Qz9QLKal8Ui9si,0,2020-01-19T19:08:42Z,2020-01-19T19:40:23Z,1,0,NA,NA,5,6,5,5,6,5,5,5,6,5,5,4,6,5,5,5,4,4,5,3,3,4,4,5,4,5,5,5,4,5,4,5,6,5,5,5,2,7,2,3,4,2,2,3,5,3,3,5,1,4,6,2,4,6,2,2,4,6,3,2,6,6,6,2,5,2,7,6,2,5,3,3,5,5,3,5,3,3,4,26,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,1901,greater_than_six,7,consistent,eligible,5.285714285714286,5.125,6.142857142857143,3.75,5.2,2,3.769230769230769,3,4.6,4.333333333333333,5,4.5,4.888888888888889,2.8
24fc0186,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_10BFn3kp2fjZ46O,0,2020-01-19T19:10:51Z,2020-01-19T19:33:38Z,1,0,NA,NA,2,4,3,3,3,3,5,3,4,2,3,4,5,4,3,4,4,3,5,2,2,4,5,5,3,5,4,5,4,5,3,4,6,3,5,4,2,7,4,5,3,5,5,4,3,5,5,3,2,5,5,6,5,2,5,6,5,2,4,6,2,6,5,6,3,4,6,4,3,3,3,3,3,5,3,4,4,4,4,29,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,1367,greater_than_six,5,consistent,eligible,3.2857142857142856,3.5,3.5714285714285716,4.5,5.2,6,5.230769230769231,3.5,3.6,3.6666666666666665,5.666666666666667,4.666666666666667,4.555555555555555,4.8
2eed5c74,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Meetic,R_1JOYSsklozREYNf,0,2020-01-19T19:13:11Z,2020-01-19T19:31:49Z,1,0,NA,NA,3,5,1,4,7,1,3,7,7,7,5,7,6,7,5,6,7,7,6,1,2,3,3,2,3,3,5,7,4,7,3,7,7,7,7,7,2,7,5,2,4,2,4,4,6,4,2,3,1,3,7,7,7,6,5,6,7,7,7,2,6,5,7,4,3,4,7,7,1,3,3,2,4,3,3,2,4,2,5,41,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,pass,1118,greater_than_six,6,consistent,eligible,3.4285714285714284,6.375,6.285714285714286,4.5,6.6,4.75,5.384615384615385,3,2.8,6.666666666666667,6.333333333333333,3.5,6.444444444444445,3.4
6aee7fc5,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,R_30c919pRW5FiXVk,0,2020-01-19T19:13:22Z,2020-01-19T19:24:52Z,1,0,NA,NA,1,3,3,2,2,5,6,2,2,4,4,3,2,2,2,4,5,5,7,1,1,2,3,2,6,2,5,5,2,5,1,4,4,1,4,5,2,7,2,2,5,1,2,3,6,2,2,5,2,2,6,5,2,3,2,5,1,2,2,2,7,2,7,3,4,1,5,7,1,4,2,1,5,3,4,4,1,1,1,30,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,690,greater_than_six,11,consistent,eligible,3.142857142857143,2.625,5.571428571428571,2.25,3.4,3.75,3.1538461538461537,1.6666666666666667,3.4,4.666666666666667,7,2.6666666666666665,4.555555555555555,2.2
919fc1d2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_2CJxpjD2FxGqdG8,0,2020-01-20T07:54:31Z,2020-01-20T08:01:29Z,1,0,NA,NA,2,1,2,6,7,2,1,6,7,6,5,4,7,7,6,1,1,5,7,7,2,1,5,1,7,3,5,7,1,7,1,7,3,6,7,7,2,7,1,1,7,3,4,1,7,6,1,4,3,3,7,6,7,4,3,7,2,4,6,4,3,7,7,2,4,3,6,2,5,3,5,5,5,4,4,4,3,4,5,24,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,pass,418,greater_than_six,12,consistent,eligible,3,6,4.285714285714286,3,6.6,4.75,4.923076923076923,4.333333333333333,4.2,2.3333333333333335,4.666666666666667,2.6666666666666665,6.444444444444445,2.3
81ad6af0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,Hinge,R_3n7xrRiLCPTnJzR,0,2020-01-20T08:00:11Z,2020-01-20T08:41:03Z,1,0,NA,NA,6,6,6,5,7,5,7,6,7,6,5,6,5,6,5,2,2,2,2,7,6,3,3,3,5,2,3,3,1,6,1,3,5,3,3,3,2,7,3,2,4,3,2,3,5,5,3,3,2,6,6,6,7,7,7,6,7,7,7,6,7,6,7,7,6,1,7,7,3,4,4,2,4,2,5,2,1,2,1,27,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,2452,greater_than_six,5,consistent,eligible,6,5.75,6.857142857142857,6.5,6.6,6.25,6.461538461538462,2.6666666666666665,2.8,2,1.6666666666666667,2.8333333333333335,4.444444444444445,3.3
f2d5c4a5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_3HjqMA9SJ3FTIe8,0,2020-01-20T08:02:15Z,2020-01-20T08:09:50Z,1,0,NA,NA,7,4,5,6,4,6,5,2,5,5,5,3,7,7,4,5,6,7,7,1,1,2,3,3,5,4,6,7,2,7,1,7,7,7,7,7,2,7,4,5,4,4,5,4,3,4,4,4,2,3,7,7,7,4,4,7,7,4,6,5,6,5,7,7,2,2,7,7,4,3,3,3,4,3,4,2,2,3,1,32,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,455,greater_than_six,1,inconsistent,ineligible,5.285714285714286,4.75,5.714285714285714,4,6.4,6.5,5.6923076923076925,2.8333333333333335,3,6,7,3.5,6.888888888888889,4.3
0ed00a1f,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,R_2dYKASLb8VdmxvA,0,2020-01-20T08:03:32Z,2020-01-20T08:09:09Z,1,0,NA,NA,2,2,1,1,3,1,1,3,6,4,4,7,1,7,3,3,4,4,4,5,3,3,2,3,5,2,2,2,2,4,2,5,5,2,7,2,2,7,2,5,6,2,2,2,6,2,2,6,2,3,5,4,5,6,4,5,4,3,5,3,6,5,5,5,6,3,7,5,4,1,5,1,3,3,3,4,3,5,4,27,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,pass,337,less_than_six,12,consistent,ineligible,1.5714285714285714,4.375,5.142857142857143,4.25,5.4,4.25,4.6923076923076925,4,2.4,3.6666666666666665,4,2.5,4.333333333333333,2.3
b35e250e,0,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,R_2zeZpA9oeKhWXV1,0,2020-01-20T08:08:46Z,2020-01-20T08:20:04Z,1,0,NA,NA,6,7,7,7,7,6,7,7,6,7,6,6,6,7,6,3,5,4,6,6,3,3,3,3,3,4,5,5,3,6,3,4,6,3,3,5,2,7,2,2,7,2,3,2,6,6,3,5,1,5,6,6,6,3,7,6,6,6,5,6,7,6,6,6,6,1,7,6,3,3,3,2,4,3,2,2,2,3,3,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,pass,678,greater_than_six,10,consistent,eligible,6.714285714285714,6.375,6,6,6,6,6,2.6666666666666665,2.8,4,4.333333333333333,3.8333333333333335,4.666666666666667,2.6
6c54632e,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,makeoutclub.com,R_2rHHODJiOGJg8bU,0,2020-01-20T08:08:49Z,2020-01-20T08:18:45Z,1,0,NA,NA,5,4,5,5,5,4,4,5,6,7,6,7,6,7,7,4,4,4,4,6,6,2,2,2,5,3,5,4,3,5,2,3,6,3,5,5,2,7,1,2,7,1,1,1,7,3,1,7,3,2,6,5,5,3,4,6,3,6,5,3,3,6,6,5,2,6,6,5,4,3,4,3,4,3,3,3,3,4,5,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,596,greater_than_six,16,consistent,eligible,4.571428571428571,6.375,4.285714285714286,2.75,5.6,4.75,4.461538461538462,3.8333333333333335,3.2,4,2.6666666666666665,2.8333333333333335,4.666666666666667,1.3
016e5630,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,R_31cnxZ2a3folcM1,0,2020-01-20T08:09:09Z,2020-01-20T08:20:56Z,1,0,NA,NA,6,3,4,5,6,4,4,6,7,5,5,5,5,5,6,3,2,5,4,6,4,5,4,5,5,4,4,5,3,6,3,6,5,5,6,5,2,7,2,3,5,2,3,2,6,4,2,4,2,5,6,6,6,5,4,2,4,5,6,3,6,6,6,6,4,2,6,6,2,4,2,3,5,4,3,4,3,3,2,22,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,707,greater_than_six,7,consistent,eligible,4.571428571428571,5.5,5.714285714285714,4.25,6,4.25,4.923076923076923,2.5,4,3.3333333333333335,3.3333333333333335,4.166666666666667,5.333333333333333,2.7
634ce19a,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,R_2rr2Oicx4TjnRQm,0,2020-01-20T08:09:50Z,2020-01-20T08:23:06Z,1,0,NA,NA,4,6,5,4,5,5,7,4,6,4,6,5,6,6,4,5,7,5,4,1,7,5,4,5,5,5,4,4,4,5,5,4,5,5,5,5,4,7,4,4,4,3,4,4,3,4,4,4,2,3,6,4,5,3,4,3,2,4,4,3,6,5,6,4,3,4,4,6,2,3,3,3,3,4,3,3,3,1,4,37,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,1,1,NA,fail,796,greater_than_six,0,inconsistent,ineligible,5.142857142857143,5.125,5,3,4.8,3.5,3.8461538461538463,2.6666666666666665,3.2,5.666666666666667,4,4.333333333333333,4.444444444444445,4
c3da4e7a,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,R_2wHVqetIlezjwXr,0,2020-01-20T08:10:28Z,2020-01-20T08:22:39Z,1,0,NA,NA,6,6,5,7,6,2,3,6,7,6,7,4,4,6,7,5,6,6,4,7,3,2,4,4,7,2,4,5,3,7,7,7,7,6,7,3,2,7,4,5,5,3,5,5,2,3,5,3,7,7,7,6,7,7,6,7,7,7,7,7,6,6,7,7,6,4,7,3,4,5,4,3,4,3,4,4,3,4,4,39,male,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,1,1,NA,pass,731,greater_than_six,2,inconsistent,ineligible,5,5.875,5,6.5,6.8,6.75,6.6923076923076925,3.8333333333333335,3.8,5.666666666666667,3.3333333333333335,2.8333333333333335,5.333333333333333,4.4
a3a38966,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,R_31S3PH5KbYLOA9a,0,2020-01-20T08:11:34Z,2020-01-20T08:50:41Z,1,0,NA,NA,5,4,3,6,6,3,3,6,7,7,6,6,6,7,6,4,3,4,4,5,4,4,4,4,3,4,5,4,4,4,4,5,4,3,5,3,2,7,4,4,4,2,4,4,3,4,4,3,3,5,7,7,6,5,5,7,5,6,5,4,5,7,6,7,5,4,7,5,2,3,4,3,4,3,4,2,3,3,3,26,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,pass,2347,greater_than_six,2,inconsistent,ineligible,4.285714285714286,6.375,5.142857142857143,5,6.4,6.25,5.923076923076923,3.1666666666666665,3,3.6666666666666665,3.6666666666666665,4.333333333333333,4,4
