ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,MID,site,Q_TotalDuration,condition,consent,attn_check_1_1,attn_check_1_2,attn_check_1_3,attn_check_1_4,attn_check_1_5,attn_check_1_6,attn_check_1_7,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,profile_num,profile_interest_num,attn_check_2,overall_engagement_1,overall_engagement_2,overall_engagement_3,overall_engagement_4,overall_engagement_5,overall_ease_1,overall_ease_2,overall_ease_3,overall_ease_4,overall_ease_5,overall_success_1,overall_success_2,overall_success_3,overall_success_4,overall_success_5,overall_success_6,overall_partner_1,overall_partner_2,overall_partner_3,overall_partner_4,overall_partner_5,overall_partner_6,overall_partner_7,overall_partner_8,attn_check_3,strategy_engagement_1,strategy_engagement_2,strategy_engagement_3,strategy_ease_1,strategy_ease_2,strategy_ease_3,strategy_ease_4,strategy_success_1,strategy_success_2,strategy_success_3,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,compliance,careful_response,honest_response,debrief_concerns,debriefing,X136,duplicate,attn_check_1,attn_check,var_response,var_low,exclusion,prevention,promotion,engage,ease,fit_success,fit_partner,fit_strategy_engage,fit_strategy_ease,fit_strategy_success
R_3Emyo3OTA0db9gd,Default Response Set,Anonymous,NA,NA,72.202.205.93,0,2018-09-24T08:07:45Z,2018-09-24T08:23:35Z,1,10264702,87e5a6a7,"OkCupid, Tinder",949,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,6,1,1,7,6,6,4,7,7,7,6,okc,12,1,2,4,4,4,3,4,5,4,4,6,2,5,5,6,2,6,5,6,6,6,6,6,6,6,6,10,5,6,1,7,6,2,2,6,6,6,52,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,8.56,acceptable,eligible,2.142857142857143,6.25,4,5,5.5,6,6,6.25,6
R_vBLJ256cU8K2vBv,Default Response Set,Anonymous,NA,NA,148.75.30.213,0,2018-09-24T08:08:51Z,2018-09-24T08:23:42Z,1,16907148,46a240ce,"eHarmony, Tinder",890,1,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,6,4,4,6,6,6,6,6,6,5,5,eharm,8,4,2,5,6,6,4,5,6,2,2,6,2,5,5,6,3,5,5,5,5,5,5,5,5,5,5,10,5,5,2,5,6,2,2,5,5,5,33,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,2.86,acceptable,eligible,4.142857142857143,5.75,5.666666666666667,6,5.166666666666667,5,5.333333333333333,5.75,5
R_117ngh6sjflmsRq,Default Response Set,Anonymous,NA,NA,75.64.41.20,0,2018-09-24T08:11:14Z,2018-09-24T08:25:11Z,1,15086490,d5a510ad,"OkCupid, eHarmony, Tinder",837,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,5,2,5,5,6,3,5,6,5,6,4,okc,9,3,2,5,5,4,2,3,4,2,2,5,2,5,6,6,2,6,6,6,5,6,5,6,6,7,5,10,5,5,1,5,4,2,1,5,6,5,31,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,4.376666666666667,acceptable,eligible,3.2857142857142856,5,4.666666666666667,5.333333333333333,5.833333333333333,5.75,5.666666666666667,5.5,5.333333333333333
R_ZfUT3elXZsULbsB,Default Response Set,Anonymous,NA,NA,108.174.63.105,0,2018-09-24T08:11:16Z,2018-09-24T08:27:19Z,1,97265220,e1226c81,"Chemistry, Coffee Meets Bagel, eHarmony, OurTime, Pure",963,0,1,NA,NA,NA,NA,NA,1,NA,5,5,6,6,6,7,6,6,6,7,7,7,7,7,6,pof,5,4,7,7,7,6,6,6,7,6,5,5,7,7,7,6,6,5,7,7,6,7,6,5,6,6,6,10,6,5,7,7,6,7,5,6,6,5,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,NA,NA,1,NA,NA,1,1,1,good one,1,NA,nonduplicated,1,fail,2.4066666666666667,acceptable,ineligible,5.857142857142857,6.625,6.666666666666667,3.6666666666666665,5.666666666666667,6.125,4,4.25,5.666666666666667
R_3foOqdCpqQUap6u,Default Response Set,Anonymous,NA,NA,23.88.195.158,0,2018-09-24T08:14:48Z,2018-09-24T08:32:02Z,1,99093080,cbb65801,"Bumble, eHarmony",1033,1,1,NA,NA,NA,NA,NA,NA,1,6,6,7,7,6,6,6,5,6,7,6,6,7,6,7,eharm,8,0,6,6,6,6,6,6,6,7,6,7,7,7,6,7,6,7,7,6,7,6,7,7,7,6,6,9,6,7,7,6,7,7,6,7,6,6,26,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,no comments,1,NA,nonduplicated,1,fail,2.9233333333333333,acceptable,ineligible,6.285714285714286,6.25,6,3,6,6.5,4.666666666666667,4,6.333333333333333
R_3Pn3dtmVIwxpziM,Default Response Set,Anonymous,NA,NA,74.109.225.178,0,2018-09-24T08:17:08Z,2018-09-24T08:34:25Z,1,63846861,1a286444,"OkCupid, Tinder",1037,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,4,6,5,1,3,6,7,6,6,7,7,7,6,okc,18,0,2,7,7,4,1,7,7,7,1,7,1,4,4,6,4,5,6,7,7,6,7,7,7,7,4,10,7,7,3,7,1,1,1,4,7,4,30,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,N/A thanks for the opportunity!,1,NA,nonduplicated,0,pass,7.083333333333333,acceptable,eligible,3,6.5,6,7,4.833333333333333,6.5,6.333333333333333,5.5,5
R_yU4Nf5OjUHIpoEV,Default Response Set,Anonymous,NA,NA,131.93.134.41,0,2018-09-24T08:12:49Z,2018-09-24T08:36:01Z,1,90867393,a41c2472,"Plenty of Fish, Tinder",1392,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,6,2,2,3,6,5,5,6,5,6,6,eharm,15,3,2,6,6,6,2,6,6,5,2,6,2,6,5,5,2,6,5,5,5,5,6,5,6,5,5,10,6,6,2,6,6,2,2,6,6,5,24,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,6.34,acceptable,eligible,2.857142857142857,5.25,6,6,5.5,5.25,6,6,5.666666666666667
R_1MYR2f7l8mwv7Nu,Default Response Set,Anonymous,NA,NA,186.14.181.58,0,2018-09-24T08:18:26Z,2018-09-24T08:39:25Z,1,29344250,8cd30b7f,"Badoo, OkCupid, Grindr, Match.com/ca, Tinder",1258,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,6,1,1,6,7,6,6,6,6,6,6,okc,7,1,2,7,7,7,1,7,7,1,1,7,1,7,7,7,1,7,7,7,7,7,6,5,7,6,6,10,6,7,1,7,6,1,1,6,6,5,34,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,very thanks,1,NA,nonduplicated,0,pass,8.643333333333333,acceptable,eligible,2.4285714285714284,6.125,7,7,7,6.375,6.666666666666667,6.75,5.666666666666667
R_3KK4kYJsSRhZ9wC,Default Response Set,Anonymous,NA,NA,107.174.250.148,0,2018-09-24T08:25:18Z,2018-09-24T08:44:34Z,1,79601108,3c2959d1,"Badoo, Bumble, Chemistry, Coffee Meets Bagel, OkCupid, eHarmony, GayRomeo, JDate, Match.com/ca, OurTime, Plenty of Fish, Pure, Tinder",1156,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,5,6,5,4,5,5,4,4,5,pof,6,3,2,5,5,5,4,4,4,5,4,5,4,5,5,6,4,4,5,4,5,5,5,5,5,4,4,10,5,5,4,5,5,4,5,6,5,5,44,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,good,1,NA,nonduplicated,0,pass,2.7066666666666666,acceptable,eligible,4.857142857142857,4.75,5,4,4.833333333333333,4.625,4.666666666666667,4.25,5.333333333333333
R_25KtD8qMTGOedXh,Default Response Set,Anonymous,NA,NA,107.145.113.42,0,2018-09-24T08:40:51Z,2018-09-24T08:57:13Z,1,47993167,ce19d2de,"OkCupid, Tinder",981,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,1,1,6,4,6,6,1,6,5,6,okc,4,0,2,4,4,3,5,4,4,6,6,6,2,4,4,6,2,4,4,6,5,5,4,5,6,6,3,10,2,2,6,6,5,6,2,3,2,2,35,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,6.99,acceptable,eligible,1.4285714285714286,5,3.6666666666666665,4,4.666666666666667,5,2,4.75,2.3333333333333335
R_1gNIgXDns985JdR,Default Response Set,Anonymous,NA,NA,75.100.156.231,0,2018-09-24T08:46:19Z,2018-09-24T09:03:37Z,1,62942597,a7fc6361,eHarmony,1037,0,1,NA,NA,NA,NA,NA,NA,NA,5,7,2,6,6,6,6,6,7,5,5,5,6,6,5,eharm,15,3,2,5,7,5,2,6,6,6,3,5,2,2,4,4,3,4,4,6,6,7,5,5,5,7,6,10,5,5,3,4,4,3,5,4,4,5,24,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,Great study thanks.,1,NA,nonduplicated,0,pass,1.75,acceptable,eligible,5.428571428571429,5.625,5.666666666666667,5.666666666666667,3.8333333333333335,5.875,5,4,4.333333333333333
R_3R7KucSIAEQBsUY,Default Response Set,Anonymous,NA,NA,68.132.110.186,0,2018-09-24T08:58:49Z,2018-09-24T09:16:10Z,1,10550487,5fc70d9c,"Badoo, eHarmony",1041,0,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,2,4,6,6,6,6,6,3,6,eharm,7,0,2,4,5,4,3,4,6,1,3,6,1,4,4,4,3,1,1,2,1,1,1,1,2,2,3,10,2,3,5,5,5,5,3,1,1,2,35,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,"Good study, interesting search tactic.",1,NA,nonduplicated,0,pass,4.11,acceptable,eligible,2.4285714285714284,5.375,4.333333333333333,6,3.1666666666666665,1.625,2.6666666666666665,4.5,1.3333333333333333
R_27KbDQLvZm1YbYB,Default Response Set,Anonymous,NA,NA,104.168.88.221,0,2018-09-24T09:01:27Z,2018-09-24T09:18:38Z,1,740227,23f708c5,OkCupid,1030,0,1,NA,NA,NA,NA,NA,1,NA,5,5,5,5,6,5,6,6,5,6,6,5,6,6,6,okc,5,20,6,5,6,6,6,5,5,5,6,5,6,5,5,6,6,6,6,5,5,5,5,6,5,6,6,10,5,6,5,6,6,6,5,6,6,5,40,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,well survey,1,NA,nonduplicated,1,fail,2.6066666666666665,acceptable,ineligible,5.285714285714286,5.75,5.666666666666667,3,5,5.375,4.666666666666667,4.25,5.666666666666667
R_238NHP2813MoIEu,Default Response Set,Anonymous,NA,NA,192.3.231.21,0,2018-09-24T09:01:40Z,2018-09-24T09:19:54Z,1,69286055,028ae9fc,"OkCupid, eHarmony, Plenty of Fish",1094,1,1,NA,NA,NA,NA,NA,1,NA,6,5,6,5,5,5,5,5,6,6,6,6,6,6,6,pof,5,2,2,5,5,6,5,6,5,6,6,6,6,5,6,6,5,5,5,5,5,6,6,6,6,5,6,10,5,4,5,5,6,6,6,5,6,5,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA,1,1,1,nice,1,NA,nonduplicated,1,fail,2.1433333333333335,acceptable,ineligible,5.285714285714286,5.875,5.333333333333333,3,5,5.625,4,3.75,5.333333333333333
R_2CvxpITRidevX5b,Default Response Set,Anonymous,NA,NA,190.124.31.35,0,2018-09-24T08:59:27Z,2018-09-24T09:24:57Z,1,98374132,97f35085,"Badoo, Bumble, Chemistry, OkCupid, eHarmony, GayRomeo, Grindr, HeartBroker, JDate, Match.com/ca, Plenty of Fish",1530,1,1,NA,NA,NA,1,NA,NA,NA,5,5,5,4,7,6,4,6,5,5,7,5,5,4,5,eharm,30,5,2,6,6,6,5,6,7,7,4,7,6,6,7,6,6,6,6,6,6,7,6,7,7,6,6,10,6,6,2,6,6,2,5,6,6,5,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,"no concern, thank you very much",1,NA,nonduplicated,1,fail,3.4766666666666666,acceptable,ineligible,5.142857142857143,5.25,6,4.333333333333333,5.5,6.375,6,5.25,5.666666666666667
R_Asz2wUeC0yChWN3,Default Response Set,Anonymous,NA,NA,69.12.94.121,0,2018-09-24T08:59:53Z,2018-09-24T09:32:24Z,1,92705877,d0ce0970,OkCupid,1951,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,6,3,2,6,6,6,7,2,7,7,2,okc,5,1,2,7,6,7,2,6,7,7,1,6,1,7,6,6,1,6,6,6,5,7,6,6,7,7,6,10,7,7,1,7,7,1,1,7,7,7,30,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,Thank you. Interesting study.,1,NA,nonduplicated,0,pass,10.626666666666667,acceptable,eligible,2.5714285714285716,5.375,6.666666666666667,7,6.333333333333333,6.25,7,7,7
R_9FXMrKEavPXmdnX,Default Response Set,Anonymous,NA,NA,68.227.12.219,0,2018-09-24T09:23:53Z,2018-09-24T09:40:59Z,1,11251508,dd9ebc1a,eHarmony,1026,1,1,NA,NA,NA,NA,NA,NA,NA,5,3,2,4,5,3,5,6,6,5,6,6,5,6,6,eharm,8,1,2,2,5,2,3,2,6,2,3,5,2,3,3,4,2,6,4,6,6,6,6,6,6,6,2,10,6,5,2,6,6,2,3,6,6,6,51,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,none,1,NA,nonduplicated,0,pass,4.29,acceptable,eligible,3.857142857142857,5.75,3,5.666666666666667,4.333333333333333,5.5,5.666666666666667,5.75,6
R_2trKrax5bn7T5NV,Default Response Set,Anonymous,NA,NA,174.100.28.118,0,2018-09-24T09:28:14Z,2018-09-24T09:45:25Z,1,89982234,d23ea6b3,"eHarmony, Tinder",1031,0,1,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,5,4,5,5,2,2,3,3,4,4,5,eharm,15,2,2,4,5,5,5,3,4,2,5,4,3,2,4,2,5,3,3,4,5,5,4,3,5,5,3,10,5,5,3,3,3,3,5,5,2,2,24,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,none,1,NA,nonduplicated,0,pass,3.473333333333333,acceptable,eligible,3.857142857142857,3.5,4.666666666666667,4,2.8333333333333335,4.25,5,3.5,3
R_1pSzRbV2hExhTyp,Default Response Set,Anonymous,NA,NA,122.178.119.183,0,2018-09-24T09:07:15Z,2018-09-24T09:49:30Z,1,74842240,38de240c,"Chemistry, eHarmony, OurTime, Pure",2534,0,1,NA,NA,NA,NA,NA,1,NA,4,4,4,5,5,3,5,6,5,4,6,6,6,4,6,pof,20,2,2,6,4,5,4,5,6,4,4,4,4,6,4,6,5,5,4,4,5,6,4,6,5,6,4,10,6,4,4,6,6,5,4,6,4,5,48,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,1,1,NA,1,1,1,This  is very nice and useful survey.,1,NA,nonduplicated,1,fail,3.36,acceptable,ineligible,4.285714285714286,5.375,5,4.666666666666667,4.666666666666667,5,4.666666666666667,4.75,5
R_p5JrlBR4hV46lbP,Default Response Set,Anonymous,NA,NA,172.107.174.243,0,2018-09-24T09:40:49Z,2018-09-24T09:58:23Z,1,83650443,3b8e6773,OkCupid,1053,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,4,4,4,5,5,5,5,5,5,5,4,okc,5,3,2,7,4,7,4,5,5,5,5,5,5,5,5,5,5,4,6,5,5,4,5,5,5,4,5,10,7,6,5,6,7,4,5,4,6,5,32,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,nonduplicated,0,pass,4.61,acceptable,eligible,4.142857142857143,4.875,6,3.6666666666666665,4.666666666666667,4.75,5.333333333333333,5,5
