ResponseID,IPAddress,Status,StartDate,EndDate,Finished,workerId,site,condition,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,profile_num,profile_interest_num,attn_check_2,attn_check_3,engage_1,engage_2,engage_3,engage_4,engage_5,ease_1,ease_2,ease_3,ease_4,ease_5,ease_6,ease_7,ease_8,success_1,success_2,success_3,success_4,success_5,success_6,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,partner_8,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,mc_compliance,mc_strategy,mc_strategy_use,careful_response,honest_response,debrief_concerns,debriefing,attn_check,exclusion,prevention,promotion,engage,ease,fit_success,fit_partner,activity_distraction
R_3iPyZGnw58Zlf3r,b6bddaad,0,2018-11-22T03:16:15Z,2018-11-22T03:35:00Z,1,d0f4b1bd,Plenty of Fish,1,4,5,3,4,3,3,3,5,5,5,4,5,5,4,4,okc,5,2,2,10,3,3,3,6,6,4,4,5,2,8,8,6,6,3,4,5,7,8,8,4,5,5,3,4,5,4,4,30,male,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,"first looked for some desired traits, then read more about them. as soon as I found something I didn't like I moved on.",1,1,1,NA,1,pass,eligible,3.5714285714285716,4.625,3,4.666666666666667,4.333333333333333,4.285714285714286,0
R_DTQD54u2eex52nv,e45be807,0,2018-11-22T03:16:24Z,2018-11-22T03:42:50Z,1,7d414ebb,"OkCupid, eHarmony, Tinder",-1,4,4,4,6,6,6,5,5,7,6,5,6,6,6,7,okc,4,0,2,10,5,7,6,10,10,7,1,7,1,10,10,4,4,3,2,1,9,10,10,1,1,1,1,1,2,1,1,36,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,"First I looked at all the matches under ""browse matches""  I only saw 1 or 2 that looked a tad bit attractive.",1,1,1,NA,1,pass,eligible,5,6,6,7,4.333333333333333,1.1428571428571428,0
R_3R4rDCsJyzFNaAq,0d1ae8b2,0,2018-11-22T03:52:55Z,2018-11-22T04:08:48Z,1,c2d0540b,"Badoo, OkCupid, Grindr, Plenty of Fish, Tinder, Zoosk",1,5,4,2,4,1,5,5,6,6,5,5,7,3,3,5,okc,7,2,2,10,3,5,3,8,8,3,3,5,4,7,8,7,9,4,4,5,7,8,8,5,5,4,4,5,4,5,5,26,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,I looked for someone I was physically attracted to then read their bio to see if I liked what they say.,1,1,1,NA,1,pass,eligible,3.7142857142857144,5,3.6666666666666665,4,4.5,4.571428571428571,0
R_QaEpp0s34rH9sTn,57f937e9,0,2018-11-22T04:10:41Z,2018-11-22T04:29:00Z,1,3e330abd,"eHarmony, Plenty of Fish",1,3,4,3,6,4,2,4,6,6,5,6,6,6,6,5,eharm,20,0,2,10,6,5,5,7,7,6,2,6,2,8,8,6,6,5,4,3,6,6,8,3,4,3,3,4,5,2,3,57,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,looking for common interests and compatibility - desirable traits,2,1,1,no concerns,1,pass,eligible,3.7142857142857144,5.75,5.333333333333333,6,3.8333333333333335,3.5714285714285716,0
R_3hH0sqidPZ1iV4q,45a2c7af,0,2018-11-22T04:47:52Z,2018-11-22T05:04:24Z,1,8ea7ebb6,"eHarmony, Plenty of Fish, Tinder",1,1,1,1,7,7,1,1,7,7,7,7,7,7,7,7,pof,25,15,2,10,7,7,7,10,10,7,1,7,1,10,10,4,4,7,7,7,10,10,10,7,7,7,7,7,7,7,7,26,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,"Look for the ones that stated they were single and looking for the right one. I also did look for the pretty women too. Most women if not all, are pretty anyways.",1,1,1,This was a fun survey. It was easy to understand. There were no problems at all.,1,pass,eligible,2.7142857142857144,7,7,7,7,7,0
R_3FIjwFsdsUe1piv,5b920b55,0,2018-11-22T04:34:07Z,2018-11-22T05:08:02Z,1,9d9a8bda,eHarmony,-1,3,4,3,4,5,3,4,5,4,6,4,5,5,5,5,eharm,11,2,2,10,7,6,5,8,8,6,1,6,2,9,9,4,4,5,6,4,8,8,8,6,6,7,6,7,6,5,6,54,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,noticing and paying attention to undesirable traits,1,1,1,N/A,1,pass,eligible,3.7142857142857144,4.875,6,6.333333333333333,5,6.285714285714286,0
R_1EY8TOognUS6QQN,1b5b4305,0,2018-11-22T05:37:24Z,2018-11-22T05:50:59Z,1,71c8396f,OkCupid,1,4,5,4,5,4,4,4,5,5,4,4,5,4,4,4,okc,6,2,2,10,5,5,5,8,8,7,2,6,1,9,9,4,4,5,6,4,8,8,8,5,6,5,7,6,5,5,5,36,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,i used the basic filtering system to narrow by mileage,1,1,1,NA,1,pass,eligible,4.285714285714286,4.375,5,6.666666666666667,5,5.571428571428571,0
R_1MX58thCGkytIpw,62f0f1df,0,2018-11-22T05:25:26Z,2018-11-22T05:51:25Z,1,8fae7328,"OkCupid, Tinder",-1,2,2,2,2,6,5,2,5,7,5,6,6,6,7,6,okc,30,3,2,10,5,5,5,8,8,6,1,7,1,10,9,4,4,5,5,6,9,9,8,6,6,6,6,5,6,5,6,27,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,I tried to look at profiles that were at least a 90% match and then weeded out the ones that had negative aspects.,1,1,1,NA,1,pass,eligible,3,6,5,6.666666666666667,5.5,5.857142857142857,0
R_2bJIeBMzTXjGzPK,f9d705cb,0,2018-11-22T06:31:15Z,2018-11-22T06:52:42Z,1,0b30357f,"OkCupid, eHarmony, Tinder",-1,1,1,1,1,7,1,1,7,7,7,7,7,7,7,7,eharm,20,2,2,10,6,6,6,10,10,7,1,7,1,10,10,4,4,6,6,6,10,10,10,6,6,6,6,6,6,6,6,27,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,1,1,I choose to eliminate the undesirable trait of having tattoos on a person's body.,1,1,1,"Nothing to add, thank you.",1,pass,eligible,1.8571428571428572,7,6,7,6.5,6,1
R_w5YXBiBdBpdkmxX,3c3759fa,0,2018-11-22T07:19:24Z,2018-11-22T07:45:47Z,1,6a568179,"OkCupid, eHarmony, Match.com/ca, Plenty of Fish, Tinder",-1,1,1,1,1,4,5,1,1,5,5,5,7,4,6,6,okc,8,1,2,10,4,3,1,4,5,6,2,5,2,7,5,8,6,4,1,3,4,5,5,6,5,5,5,7,4,5,5,32,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,looked for interests that i disliked,1,1,1,"I dont know about how you want people to judge these disliked traits since it is hard to tell how ""in to""  said item they are. For instance if i saw someone that called themselves a runner it is hard to know if they just mean they run a few times a week or they train daily for it.",1,pass,eligible,2,4.875,2.6666666666666665,6,2.1666666666666665,5.285714285714286,0
R_2cwrjWP7s3zV9hq,791928ce,0,2018-11-22T08:22:29Z,2018-11-22T08:35:43Z,1,301964bd,OkCupid,-1,3,4,3,3,4,4,4,2,5,4,5,3,3,5,4,okc,7,1,2,10,3,3,4,7,6,5,5,3,4,6,7,6,9,4,5,2,8,6,7,3,6,3,3,2,5,4,3,33,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I looked for who looked sane.,1,1,1,NA,1,pass,eligible,3.5714285714285716,3.875,3.3333333333333335,4,3.8333333333333335,3.5714285714285716,0
R_5osUqnsQ0acme1r,f3f2fba9,0,2018-11-22T08:19:46Z,2018-11-22T08:54:30Z,1,38fdb8e0,"Bumble, Coffee Meets Bagel, OkCupid, Tinder",1,3,2,2,5,4,1,2,5,6,5,5,5,6,6,6,okc,8,2,2,10,7,7,7,9,9,6,1,7,1,10,10,4,4,6,6,6,9,9,9,7,7,7,7,7,7,7,7,27,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,1,1,Looked at the Desirable Traits,1,1,1,NA,1,pass,eligible,2.7142857142857144,5.5,7,6.666666666666667,6,7,1
R_1DHgx0FKqaS1QPP,174abca4,0,2018-11-22T08:26:28Z,2018-11-22T08:57:22Z,1,c8b67b9e,OkCupid,1,2,2,1,4,4,2,1,5,5,6,5,7,6,6,6,okc,7,2,2,10,7,7,6,9,8,7,1,7,1,10,10,4,4,5,6,7,10,9,9,7,7,7,7,7,7,7,7,31,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I looked for desirable traits.,1,1,1,Best wishes!,1,pass,eligible,2.2857142857142856,5.75,6.666666666666667,7,6.166666666666667,7,0
R_2YIZlCfUEkCfI7i,d0ce1d3d,0,2018-11-22T08:44:02Z,2018-11-22T09:24:25Z,1,1007a9d0,"OkCupid, eHarmony, Plenty of Fish",1,6,7,7,6,7,7,7,6,6,6,7,7,6,6,6,okc,4,1,2,10,6,6,7,9,10,6,6,7,6,10,9,10,10,7,7,6,9,9,10,7,7,6,6,7,7,7,7,30,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,searching,2,1,1,This survey is very interesting.,1,pass,eligible,6.714285714285714,6.25,6.333333333333333,3.3333333333333335,6.5,6.714285714285714,0
R_3nJDLqb4nAJ6Ahc,4d78c640,0,2018-11-22T09:54:13Z,2018-11-22T10:14:16Z,1,4a2449af,"OkCupid, eHarmony, Plenty of Fish, Tinder",1,5,4,6,6,4,4,3,5,5,5,5,4,4,5,6,pof,15,2,2,10,3,5,6,9,10,7,1,5,1,8,9,4,4,2,1,5,10,9,8,3,3,5,4,5,4,3,5,33,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I focused on desirable traits on the profiles,1,1,1,NA,1,pass,eligible,4.571428571428571,4.875,4.666666666666667,7,4.333333333333333,4.142857142857143,0
R_2e99Z53J0l7svtb,df2bbf0c,0,2018-11-22T11:23:25Z,2018-11-22T11:43:45Z,1,b336bb2b,"OurTime, Plenty of Fish",-1,3,2,2,5,4,5,5,5,5,6,5,6,6,6,5,pof,12,2,2,10,7,6,5,9,9,7,2,6,2,8,8,6,5,4,4,6,9,10,9,6,6,6,5,6,5,5,5,45,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,I was looking for undesirable traits,1,1,1,NA,1,pass,eligible,3.7142857142857144,5.5,6,6.333333333333333,5.5,5.571428571428571,0
R_33yC4Wa7aE58fyy,ed79f409,0,2018-11-22T12:09:27Z,2018-11-22T12:33:40Z,1,7afba38a,Plenty of Fish,1,7,7,2,6,6,5,2,5,6,5,6,5,6,6,5,pof,13,2,2,10,4,5,5,7,8,3,7,2,7,9,9,5,8,2,5,6,8,8,6,6,6,6,6,6,6,5,5,36,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,looked for positive characteristics,1,1,1,NA,1,pass,eligible,5,5.5,4.666666666666667,1.6666666666666667,4.333333333333333,5.857142857142857,0
R_1NFwBsuULrJ7M0Z,ac1f93af,0,2018-11-22T12:19:34Z,2018-11-22T12:37:51Z,1,eb5d25e9,"eHarmony, Tinder, east meet east",1,2,2,2,3,6,2,2,5,6,6,6,5,5,6,5,eharm,12,2,2,10,6,6,6,9,9,6,2,6,2,9,9,5,9,6,6,6,9,9,9,6,6,6,6,6,6,6,6,29,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,only look for desirable traits,1,1,1,NA,1,pass,eligible,2.7142857142857144,5.5,6,6,6,6,0
R_1l9PBZUjvPBSEUA,cc6f2367,0,2018-11-22T12:15:30Z,2018-11-22T12:38:30Z,1,075864b4,"eHarmony, Match.com/ca, Tinder",-1,2,2,2,1,5,5,2,4,5,5,6,4,6,2,2,eharm,7,1,2,10,6,6,6,10,10,7,2,6,2,9,9,5,4,7,7,6,9,8,9,7,7,6,7,7,6,7,6,50,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I receive matches from eHarmony and follow the recommendation to look for undesirable traits and sorted the matches,1,1,1,NA,1,pass,eligible,2.7142857142857144,4.25,6,6.333333333333333,6.166666666666667,6.571428571428571,0
R_ysSGPrdEw6Qp9iF,2a562ad4,0,2018-11-22T12:36:06Z,2018-11-22T12:54:53Z,1,b60d543e,"Badoo, Bumble, Chemistry, Coffee Meets Bagel, OkCupid, eHarmony, GayRomeo, Grindr, HeartBroker",-1,7,6,1,7,7,7,5,6,7,5,6,7,6,5,5,eharm,3,1,2,10,7,7,7,10,10,5,1,7,5,10,10,4,4,7,6,7,9,10,9,7,6,6,5,7,7,7,7,30,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,filter by age and interest,3,1,1,NA,1,pass,eligible,5.714285714285714,5.875,7,5,6.5,6.428571428571429,0
R_3fOUFl2rwSEI2Bv,38359678,0,2018-11-22T13:24:19Z,2018-11-22T13:47:27Z,1,0f09302d,"OkCupid, Plenty of Fish, Tinder",1,7,7,7,6,7,7,5,7,4,7,6,4,7,6,6,pof,25,3,2,10,7,6,7,10,9,5,2,7,2,10,9,5,4,7,6,6,9,10,9,6,7,6,6,7,6,5,6,36,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,looked for desirable traits,1,1,1,NA,1,pass,eligible,6.571428571428571,5.875,6.666666666666667,5.666666666666667,6.333333333333333,6.285714285714286,0
R_24jb50AwMlHOmor,c3d0c8b7,0,2018-11-22T14:08:02Z,2018-11-22T14:27:09Z,1,c9bde167,"Badoo, OkCupid, eHarmony, Plenty of Fish, Tinder, Zoosk",-1,4,4,4,4,5,5,4,4,4,6,5,4,5,4,5,pof,20,3,2,10,4,5,5,8,8,5,4,5,3,8,8,6,6,4,5,5,7,7,7,4,5,5,5,5,5,5,5,21,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,"I watched out people that reveal too much information about themselves, they look so desperate to me.",2,3,8,none,1,pass,eligible,4.285714285714286,4.625,4.666666666666667,4.666666666666667,4.333333333333333,4.857142857142857,0
R_DqtPOdgFWb7Gr97,b5a9e5f1,0,2018-11-22T15:17:43Z,2018-11-22T15:47:19Z,1,bb6151ea,"eHarmony, Tinder",1,6,5,5,7,7,7,7,6,7,5,7,5,5,7,7,eharm,7,4,2,10,6,6,6,8,8,7,3,6,2,9,9,6,5,4,4,7,9,9,9,7,7,7,5,7,7,7,7,30,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,Browsed profiles I felt were a good match for me and profiles who of women who would potentially be interested in me.,1,1,1,Enjoyed,1,pass,eligible,6.285714285714286,6.125,6,6,5.5,6.714285714285714,0
R_2PAriBEOVoaM4ko,3653cdfd,0,2018-11-22T15:25:33Z,2018-11-22T15:51:40Z,1,ebaa0355,"OkCupid, Plenty of Fish, Tinder",1,3,2,6,7,7,4,2,7,5,6,4,6,6,6,5,pof,10,1,2,10,7,6,6,6,8,7,4,5,5,9,10,4,4,6,6,7,5,8,7,4,6,7,5,7,5,6,5,29,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,Look for desirable traits,1,1,1,NA,1,pass,eligible,4.428571428571429,5.625,6.333333333333333,4.666666666666667,5,5.571428571428571,0
R_2q8BOIY2G0Dy4wQ,a18547fb,0,2018-11-22T15:57:31Z,2018-11-22T16:18:54Z,1,c94a061a,"Coffee Meets Bagel, eHarmony, Tinder",-1,4,3,3,4,6,3,3,4,7,5,5,5,5,6,6,eharm,6,2,2,10,7,6,6,8,8,5,3,6,5,10,8,6,7,6,4,6,7,7,8,7,7,7,7,7,6,6,6,31,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,If they had bad teeth and compatible leisure activities.,1,1,1,"With eharmony and not having an account I had to make one and then I was only able to look at six profiles, no more but I scanned them each thoroughly.",1,pass,eligible,3.7142857142857144,5.375,6.333333333333333,4.333333333333333,4.833333333333333,6.714285714285714,0
R_3NCB3gJ5TZuaA6s,0cbf7081,0,2018-11-23T08:14:28Z,2018-11-23T08:27:53Z,1,128d4ed5,"OkCupid, Plenty of Fish, Tinder",-1,6,5,2,6,4,2,2,4,3,3,5,5,4,2,1,okc,25,1,2,10,4,4,3,6,6,3,4,4,3,6,7,6,6,2,3,3,6,6,7,4,3,4,3,4,3,3,4,29,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,looking for undesirable traits and evaluating the profiles in terms of these undesirable traits,2,1,1,NA,1,pass,eligible,3.857142857142857,3.375,3.6666666666666665,4,3,3.5714285714285716,0
R_28M6XVX4RyFKejr,8f959be5,0,2018-11-23T08:44:05Z,2018-11-23T09:06:34Z,1,5df15406,Plenty of Fish,1,1,1,2,7,7,3,2,6,6,6,6,5,6,7,7,pof,15,2,2,10,3,3,3,7,8,7,1,7,1,10,8,9,4,2,2,4,5,8,6,5,5,5,5,5,5,5,5,26,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,I looked only at desirable traits and did my best to ignore the negative traits.,1,1,1,"Only looking at the desirable traits and not the negative ones makes me a bit anxious. While it's true I found a couple partners I might be interested in, each one had a negative trait that was very difficult to ignore. Thinking only of the positive traits, I would likely be interested, but with the negative traits I wouldn't be interested at all.",1,pass,eligible,3.2857142857142856,6.125,3,7,3,5,0
R_2QVXOIBnL6WUbWi,22ea0ff8,0,2018-11-23T08:59:11Z,2018-11-23T09:14:13Z,1,fd2ba90e,Plenty of Fish,1,3,2,2,3,4,2,2,5,5,5,5,5,5,5,5,pof,5,0,2,10,2,2,2,5,5,3,2,5,5,5,7,5,6,2,2,4,5,5,5,3,2,2,2,4,4,2,3,42,male,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,"I just set an age range and went from there, there weren't really any parameters like interests that I could filter.",2,1,1,"online dating is frustrating, i've reassessed online dating overall for me as not very fun anymore.",1,pass,eligible,2.5714285714285716,5,2,4,2.3333333333333335,2.857142857142857,0
